Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0.083 8.39894e+12 3.21166e+12 2.67817e+12 1.0241e+12 1.06494e+12 4.2008e+11 0
0.084 8.53301e+12 3.23553e+12 2.75989e+12 1.03141e+12 1.08183e+12 4.24352e+11 0
0.085 8.66949e+12 3.25929e+12 2.84487e+12 1.03791e+12 1.09951e+12 4.2791e+11 0
0.086 8.8019e+12 3.28243e+12 2.92875e+12 1.04359e+12 1.11569e+12 4.31445e+11 0
0.087 8.90483e+12 3.30509e+12 2.98069e+12 1.05148e+12 1.13242e+12 4.35143e+11 0
0.088 9.01866e+12 3.32724e+12 3.04413e+12 1.05966e+12 1.1487e+12 4.38924e+11 0
0.089 9.11597e+12 3.34892e+12 3.09113e+12 1.06823e+12 1.16529e+12 4.42399e+11 0
0.09 9.20914e+12 3.36933e+12 3.13432e+12 1.07691e+12 1.18258e+12 4.45993e+11 0
0.091 9.30712e+12 3.39223e+12 3.1803e+12 1.08531e+12 1.19943e+12 4.49843e+11 0
0.092 9.41099e+12 3.41512e+12 3.23242e+12 1.09306e+12 1.21671e+12 4.53681e+11 0
0.093 9.51967e+12 3.43785e+12 3.29061e+12 1.10019e+12 1.2336e+12 4.57412e+11 0
0.094 9.63567e+12 3.46399e+12 3.35214e+12 1.10727e+12 1.25097e+12 4.613e+11 0
0.095 9.7535e+12 3.48906e+12 3.41813e+12 1.11379e+12 1.26733e+12 4.65185e+11 0
0.096 9.86734e+12 3.51109e+12 3.48436e+12 1.12027e+12 1.28279e+12 4.68838e+11 0
0.097 9.98279e+12 3.53265e+12 3.55288e+12 1.12709e+12 1.29786e+12 4.72307e+11 0
0.098 1.00884e+13 3.55587e+12 3.60854e+12 1.13324e+12 1.31516e+12 4.75575e+11 0
0.099 1.01906e+13 3.5815e+12 3.65845e+12 1.13837e+12 1.33363e+12 4.78667e+11 0
0.1 1.02891e+13 3.60914e+12 3.70428e+12 1.14337e+12 1.35072e+12 4.81547e+11 0
0.101 1.03972e+13 3.63808e+12 3.76015e+12 1.1491e+12 1.36542e+12 4.84426e+11 0
0.102 1.05091e+13 3.66847e+12 3.818e+12 1.15515e+12 1.3799e+12 4.8762e+11 0
0.103 1.06134e+13 3.69924e+12 3.86676e+12 1.16136e+12 1.39518e+12 4.90885e+11 0
0.104 1.07155e+13 3.7263e+12 3.91595e+12 1.16766e+12 1.41121e+12 4.94361e+11 0
0.105 1.08135e+13 3.75226e+12 3.96411e+12 1.17372e+12 1.42539e+12 4.97968e+11 0
0.106 1.09081e+13 3.78025e+12 4.00531e+12 1.18098e+12 1.43991e+12 5.01607e+11 0
0.107 1.10099e+13 3.81065e+12 4.0489e+12 1.18896e+12 1.45613e+12 5.05212e+11 0
0.108 1.11057e+13 3.83962e+12 4.08731e+12 1.19741e+12 1.47257e+12 5.08777e+11 0
0.109 1.12052e+13 3.86854e+12 4.12988e+12 1.20612e+12 1.48835e+12 5.12349e+11 0
0.11 1.13102e+13 3.89948e+12 4.17679e+12 1.21459e+12 1.50366e+12 5.15652e+11 0
0.111 1.1412e+13 3.92978e+12 4.2205e+12 1.22276e+12 1.51998e+12 5.18951e+11 0
0.112 1.15183e+13 3.95974e+12 4.26909e+12 1.23108e+12 1.53607e+12 5.22321e+11 0
0.113 1.16259e+13 3.99011e+12 4.32228e+12 1.23913e+12 1.54919e+12 5.25182e+11 0
0.114 1.17387e+13 4.02122e+12 4.37959e+12 1.2467e+12 1.56341e+12 5.27765e+11 0
0.115 1.18454e+13 4.05272e+12 4.43368e+12 1.24965e+12 1.57886e+12 5.30442e+11 0
0.116 1.19383e+13 4.08478e+12 4.46852e+12 1.2568e+12 1.59488e+12 5.333e+11 0
0.117 1.2043e+13 4.11741e+12 4.51438e+12 1.26438e+12 1.61062e+12 5.36184e+11 0
0.118 1.21554e+13 4.15057e+12 4.56875e+12 1.27129e+12 1.62659e+12 5.38159e+11 0
0.119 1.22684e+13 4.18434e+12 4.62182e+12 1.27806e+12 1.64335e+12 5.40826e+11 0
0.12 1.23747e+13 4.21897e+12 4.66661e+12 1.28496e+12 1.66049e+12 5.43687e+11 0
