Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0.133 8.25564e+12 0 2.5086e+12 8.05338e+11 3.92376e+12 1.01793e+12
0.134 8.30921e+12 0 2.52679e+12 8.08673e+11 3.95184e+12 1.0219e+12
0.135 8.36264e+12 0 2.54493e+12 8.12007e+11 3.97984e+12 1.02587e+12
0.136 8.41593e+12 0 2.563e+12 8.15339e+11 4.00775e+12 1.02984e+12
0.137 8.46907e+12 0 2.58102e+12 8.18668e+11 4.03559e+12 1.0338e+12
0.138 8.52208e+12 0 2.59898e+12 8.21996e+11 4.06335e+12 1.03776e+12
0.139 8.57496e+12 0 2.61689e+12 8.25322e+11 4.09103e+12 1.04173e+12
0.14 8.62771e+12 0 2.63474e+12 8.28647e+11 4.11863e+12 1.04569e+12
0.141 8.68033e+12 0 2.65255e+12 8.3197e+11 4.14617e+12 1.04964e+12
0.142 8.73282e+12 0 2.6703e+12 8.35291e+11 4.17363e+12 1.0536e+12
0.143 8.7852e+12 0 2.68801e+12 8.38611e+11 4.20102e+12 1.05756e+12
0.144 8.83745e+12 0 2.70567e+12 8.41929e+11 4.22834e+12 1.06151e+12
0.145 8.8896e+12 0 2.72328e+12 8.45246e+11 4.2556e+12 1.06547e+12
0.146 8.94163e+12 0 2.74085e+12 8.48561e+11 4.2828e+12 1.06942e+12
0.147 8.99355e+12 0 2.75837e+12 8.51875e+11 4.30993e+12 1.07337e+12
0.148 9.04536e+12 0 2.77586e+12 8.55187e+11 4.33699e+12 1.07732e+12
0.149 9.09707e+12 0 2.7933e+12 8.58498e+11 4.364e+12 1.08127e+12
0.15 9.14867e+12 0 2.81069e+12 8.61808e+11 4.39095e+12 1.08522e+12
0.151 9.20018e+12 0 2.82805e+12 8.65117e+11 4.41784e+12 1.08917e+12
0.152 9.25158e+12 0 2.84537e+12 8.68424e+11 4.44467e+12 1.09312e+12
0.153 9.3029e+12 0 2.86265e+12 8.7173e+11 4.47145e+12 1.09706e+12
0.154 9.35412e+12 0 2.8799e+12 8.75035e+11 4.49818e+12 1.10101e+12
0.155 9.40524e+12 0 2.8971e+12 8.78339e+11 4.52485e+12 1.10495e+12
0.156 9.45628e+12 0 2.91427e+12 8.81642e+11 4.55147e+12 1.10889e+12
0.157 9.50723e+12 0 2.93141e+12 8.84944e+11 4.57804e+12 1.11284e+12
0.158 9.5581e+12 0 2.94851e+12 8.88245e+11 4.60456e+12 1.11678e+12
0.159 9.60888e+12 0 2.96558e+12 8.91545e+11 4.63103e+12 1.12072e+12
0.16 9.65958e+12 0 2.98262e+12 8.94844e+11 4.65745e+12 1.12466e+12
0.161 9.7102e+12 0 2.99962e+12 8.98142e+11 4.68383e+12 1.1286e+12
0.162 9.76074e+12 0 3.0166e+12 9.01439e+11 4.71016e+12 1.13254e+12
0.163 9.81121e+12 0 3.03354e+12 9.04735e+11 4.73645e+12 1.13648e+12
0.164 9.8616e+12 0 3.05046e+12 9.08031e+11 4.7627e+12 1.14042e+12
0.165 9.91192e+12 0 3.06734e+12 9.11326e+11 4.7889e+12 1.14436e+12
0.166 9.96217e+12 0 3.0842e+12 9.1462e+11 4.81506e+12 1.1483e+12
0.167 1.00124e+13 0 3.10102e+12 9.17913e+11 4.84118e+12 1.15224e+12
0.168 1.00625e+13 0 3.11782e+12 9.21206e+11 4.86726e+12 1.15617e+12
0.169 1.01125e+13 0 3.1346e+12 9.24498e+11 4.8933e+12 1.16011e+12
