Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0.743 1.3362e+28 1.74805
0.744 1.33811e+28 1.75055
0.745 1.34002e+28 1.75305
0.746 1.34193e+28 1.75555
0.747 1.34385e+28 1.75805
0.748 1.34576e+28 1.76055
0.749 1.34768e+28 1.76306
0.75 1.34959e+28 1.76557
0.751 1.35151e+28 1.76807
0.752 1.35343e+28 1.77058
0.753 1.35534e+28 1.77309
0.754 1.35726e+28 1.7756
0.755 1.35918e+28 1.77812
0.756 1.36111e+28 1.78063
0.757 1.36303e+28 1.78315
0.758 1.36495e+28 1.78566
0.759 1.36688e+28 1.78818
0.76 1.3688e+28 1.7907
0.761 1.37073e+28 1.79322
0.762 1.37266e+28 1.79574
0.763 1.37459e+28 1.79827
0.764 1.37652e+28 1.80079
0.765 1.37845e+28 1.80332
0.766 1.38038e+28 1.80584
0.767 1.38231e+28 1.80837
0.768 1.38425e+28 1.8109
0.769 1.38618e+28 1.81343
0.77 1.38812e+28 1.81596
0.771 1.39005e+28 1.8185
0.772 1.39199e+28 1.82103
0.773 1.39393e+28 1.82357
0.774 1.39587e+28 1.82611
0.775 1.39781e+28 1.82865
0.776 1.39975e+28 1.83119
0.777 1.40169e+28 1.83373
0.778 1.40364e+28 1.83627
0.779 1.40558e+28 1.83881
0.78 1.40753e+28 1.84136
0.781 1.40947e+28 1.84391
0.782 1.41142e+28 1.84645
0.783 1.41337e+28 1.849
0.784 1.41532e+28 1.85155
0.785 1.41727e+28 1.85411
0.786 1.41922e+28 1.85666
0.787 1.42117e+28 1.85921
0.788 1.42313e+28 1.86177
0.789 1.42508e+28 1.86433
0.79 1.42704e+28 1.86688
0.791 1.429e+28 1.86944
0.792 1.43095e+28 1.87201
0.793 1.43291e+28 1.87457
0.794 1.43487e+28 1.87713
0.795 1.43683e+28 1.8797
0.796 1.43879e+28 1.88226
0.797 1.44076e+28 1.88483
0.798 1.44272e+28 1.8874
0.799 1.44468e+28 1.88997
0.8 1.44665e+28 1.89254
0.801 1.44862e+28 1.89511
0.802 1.45058e+28 1.89769
0.803 1.45255e+28 1.90026
0.804 1.45452e+28 1.90284
0.805 1.45649e+28 1.90542
0.806 1.45847e+28 1.908
0.807 1.46044e+28 1.91058
0.808 1.46241e+28 1.91316
0.809 1.46439e+28 1.91574
0.81 1.46636e+28 1.91833
0.811 1.46834e+28 1.92092
0.812 1.47032e+28 1.9235
0.813 1.4723e+28 1.92609
0.814 1.47428e+28 1.92868
0.815 1.47626e+28 1.93127
0.816 1.47824e+28 1.93386
