10000
-0.4 0.4
-0.377358 1.34117e+19 6.23739e+23
-0.377278 1.34532e+19 6.25673e+23
-0.377198 1.3495e+19 6.27612e+23
-0.377118 1.35368e+19 6.29558e+23
-0.377038 1.35787e+19 6.31509e+23
-0.376958 1.36208e+19 6.33466e+23
-0.376878 1.3663e+19 6.3543e+23
-0.376798 1.37054e+19 6.374e+23
-0.376718 1.37479e+19 6.39375e+23
-0.376638 1.37905e+19 6.41357e+23
-0.376558 1.38332e+19 6.43345e+23
-0.376478 1.38761e+19 6.45339e+23
-0.376398 1.39191e+19 6.4734e+23
-0.376318 1.39623e+19 6.49346e+23
-0.376238 1.40056e+19 6.51359e+23
-0.376158 1.4049e+19 6.53378e+23
-0.376078 1.40925e+19 6.55403e+23
-0.375998 1.41362e+19 6.57435e+23
-0.375918 1.418e+19 6.59472e+23
-0.375838 1.4224e+19 6.61516e+23
-0.375758 1.42681e+19 6.63567e+23
-0.375678 1.43123e+19 6.65624e+23
-0.375598 1.43566e+19 6.67687e+23
-0.375518 1.44011e+19 6.69757e+23
-0.375438 1.44458e+19 6.71833e+23
-0.375358 1.44906e+19 6.73915e+23
-0.375278 1.45355e+19 6.76004e+23
-0.375198 1.45805e+19 6.78099e+23
-0.375118 1.46257e+19 6.80201e+23
-0.375038 1.46711e+19 6.82309e+23
-0.374957 1.47165e+19 6.84424e+23
-0.374877 1.47621e+19 6.86546e+23
-0.374797 1.48079e+19 6.88674e+23
-0.374717 1.48538e+19 6.90809e+23
-0.374637 1.48998e+19 6.9295e+23
-0.374557 1.4946e+19 6.95098e+23
-0.374477 1.49924e+19 6.97252e+23
-0.374397 1.50388e+19 6.99413e+23
-0.374317 1.50854e+19 7.01581e+23
-0.374237 1.51322e+19 7.03756e+23
-0.374157 1.51791e+19 7.05937e+23
-0.374077 1.52262e+19 7.08126e+23
-0.373997 1.52733e+19 7.10321e+23
-0.373917 1.53207e+19 7.12522e+23
-0.373837 1.53682e+19 7.14731e+23
-0.373757 1.54158e+19 7.16946e+23
-0.373677 1.54636e+19 7.19169e+23
-0.373597 1.55115e+19 7.21398e+23
-0.373517 1.55596e+19 7.23634e+23
-0.373437 1.56078e+19 7.25877e+23
-0.373357 1.56562e+19 7.28127e+23
-0.373277 1.57047e+19 7.30384e+23
-0.373197 1.57534e+19 7.32648e+23
-0.373117 1.58023e+19 7.34919e+23
-0.373037 1.58512e+19 7.37197e+23
-0.372957 1.59004e+19 7.39482e+23
-0.372877 1.59497e+19 7.41774e+23
-0.372797 1.59991e+19 7.44073e+23
-0.372717 1.60487e+19 7.46379e+23
-0.372637 1.60984e+19 7.48693e+23
-0.372557 1.61483e+19 7.51013e+23
-0.372477 1.61984e+19 7.53341e+23
-0.372397 1.62486e+19 7.55676e+23
-0.372317 1.6299e+19 7.58019e+23
-0.372237 1.63495e+19 7.60368e+23
-0.372157 1.64002e+19 7.62725e+23
-0.372077 1.6451e+19 7.65089e+23
-0.371997 1.6502e+19 7.67461e+23
-0.371917 1.65531e+19 7.6984e+23
-0.371837 1.66044e+19 7.72226e+23
-0.371757 1.66559e+19 7.7462e+23
-0.371677 1.67075e+19 7.77021e+23
-0.371597 1.67593e+19 7.79429e+23
-0.371517 1.68113e+19 7.81845e+23
-0.371437 1.68634e+19 7.84269e+23
-0.371357 1.69157e+19 7.86699e+23
-0.371277 1.69681e+19 7.89138e+23
-0.371197 1.70207e+19 7.91584e+23
-0.371117 1.70734e+19 7.94038e+23
-0.371037 1.71264e+19 7.96499e+23
-0.370957 1.71794e+19 7.98968e+23
-0.370877 1.72327e+19 8.01444e+23
-0.370797 1.72861e+19 8.03928e+23
-0.370717 1.73397e+19 8.0642e+23
-0.370637 1.73934e+19 8.0892e+23
-0.370557 1.74474e+19 8.11427e+23
-0.370477 1.75014e+19 8.13942e+23
-0.370397 1.75557e+19 8.16465e+23
-0.370317 1.76101e+19 8.18996e+23
-0.370237 1.76647e+19 8.21535e+23
-0.370157 1.77194e+19 8.24081e+23
-0.370077 1.77744e+19 8.26636e+23
-0.369997 1.78295e+19 8.29198e+23
-0.369917 1.78847e+19 8.31768e+23
-0.369837 1.79402e+19 8.34346e+23
-0.369757 1.79958e+19 8.36932e+23
-0.369677 1.80515e+19 8.39527e+23
-0.369597 1.81075e+19 8.42129e+23
-0.369517 1.81636e+19 8.44739e+23
-0.369437 1.82199e+19 8.47357e+23
-0.369357 1.82764e+19 8.49984e+23
-0.369277 1.8333e+19 8.52619e+23
-0.369197 1.83899e+19 8.55261e+23
-0.369117 1.84469e+19 8.57912e+23
-0.369037 1.85041e+19 8.60572e+23
-0.368957 1.85614e+19 8.63239e+23
-0.368877 1.86189e+19 8.65915e+23
-0.368797 1.86767e+19 8.68599e+23
-0.368717 1.87345e+19 8.71291e+23
-0.368637 1.87926e+19 8.73992e+23
-0.368557 1.88509e+19 8.76701e+23
-0.368477 1.89093e+19 8.79418e+23
-0.368397 1.89679e+19 8.82144e+23
-0.368317 1.90267e+19 8.84879e+23
-0.368237 1.90857e+19 8.87621e+23
-0.368157 1.91448e+19 8.90373e+23
-0.368077 1.92042e+19 8.93133e+23
-0.367997 1.92637e+19 8.95901e+23
-0.367917 1.93234e+19 8.98678e+23
-0.367837 1.93833e+19 9.01464e+23
-0.367757 1.94434e+19 9.04258e+23
-0.367677 1.95037e+19 9.07061e+23
-0.367597 1.95641e+19 9.09872e+23
-0.367517 1.96248e+19 9.12692e+23
-0.367437 1.96856e+19 9.15521e+23
-0.367357 1.97466e+19 9.18359e+23
-0.367277 1.98078e+19 9.21206e+23
-0.367197 1.98692e+19 9.24061e+23
-0.367117 1.99308e+19 9.26926e+23
-0.367037 1.99926e+19 9.29799e+23
-0.366957 2.00545e+19 9.32681e+23
-0.366877 2.01167e+19 9.35572e+23
-0.366797 2.01791e+19 9.38472e+23
-0.366717 2.02416e+19 9.41381e+23
-0.366637 2.03044e+19 9.44298e+23
-0.366557 2.03673e+19 9.47225e+23
-0.366477 2.04304e+19 9.50162e+23
-0.366397 2.04937e+19 9.53107e+23
-0.366317 2.05573e+19 9.56061e+23
-0.366237 2.0621e+19 9.59024e+23
-0.366157 2.06849e+19 9.61997e+23
-0.366077 2.0749e+19 9.64979e+23
-0.365997 2.08133e+19 9.6797e+23
-0.365917 2.08779e+19 9.7097e+23
-0.365837 2.09426e+19 9.7398e+23
-0.365757 2.10075e+19 9.76999e+23
-0.365677 2.10726e+19 9.80027e+23
-0.365597 2.11379e+19 9.83065e+23
-0.365517 2.12034e+19 9.86112e+23
-0.365437 2.12692e+19 9.89169e+23
-0.365357 2.13351e+19 9.92235e+23
-0.365277 2.14012e+19 9.9531e+23
-0.365197 2.14676e+19 9.98396e+23
-0.365117 2.15341e+19 1.00149e+24
-0.365037 2.16008e+19 1.00459e+24
-0.364956 2.16678e+19 1.00771e+24
-0.364876 2.1735e+19 1.01083e+24
-0.364796 2.18023e+19 1.01397e+24
-0.364716 2.18699e+19 1.01711e+24
-0.364636 2.19377e+19 1.02026e+24
-0.364556 2.20057e+19 1.02342e+24
-0.364476 2.20739e+19 1.0266e+24
-0.364396 2.21423e+19 1.02978e+24
-0.364316 2.2211e+19 1.03297e+24
-0.364236 2.22798e+19 1.03617e+24
-0.364156 2.23489e+19 1.03938e+24
-0.364076 2.24181e+19 1.0426e+24
-0.363996 2.24876e+19 1.04584e+24
-0.363916 2.25573e+19 1.04908e+24
-0.363836 2.26273e+19 1.05233e+24
-0.363756 2.26974e+19 1.05559e+24
-0.363676 2.27677e+19 1.05886e+24
-0.363596 2.28383e+19 1.06215e+24
-0.363516 2.29091e+19 1.06544e+24
-0.363436 2.29801e+19 1.06874e+24
-0.363356 2.30513e+19 1.07205e+24
-0.363276 2.31228e+19 1.07538e+24
-0.363196 2.31945e+19 1.07871e+24
-0.363116 2.32664e+19 1.08205e+24
-0.363036 2.33385e+19 1.08541e+24
-0.362956 2.34108e+19 1.08877e+24
-0.362876 2.34834e+19 1.09215e+24
-0.362796 2.35562e+19 1.09553e+24
-0.362716 2.36292e+19 1.09893e+24
-0.362636 2.37024e+19 1.10233e+24
-0.362556 2.37759e+19 1.10575e+24
-0.362476 2.38496e+19 1.10918e+24
-0.362396 2.39235e+19 1.11262e+24
